Years of sample collection,Sex,estimatedAge,Shoulder height (cm),Tusk length (cm),Tusk circumference (cm)
2005-13,f,37.5,260,100.2438,20
2005-13,f,42.5,260,117.5808,25
2005-13,m,2.5,140,38.2,10
2005-13,m,3.5,160,44.6,15
2005-13,m,3.5,160,38.2,11
2005-13,m,3.5,190,42,14
2005-13,m,3.5,180,53.7,15
2005-13,m,3.5,180,48.5,15
2005-13,m,3.5,180,45.9,13
2005-13,m,4.5,170,44.6,19
2005-13,m,4.5,200,43.3,12
2005-13,m,4.5,190,73.1,20
2005-13,m,4.5,190,55,14
2005-13,m,5.5,240,91.2,26
2005-13,m,5.5,200,60.1,17
2005-13,m,6,220,74.4,20
2005-13,m,6.5,180,43.3,12
2005-13,m,6.5,200,53.7,10
2005-13,m,7.5,190,65.3,20
2005-13,m,7.5,210,62.7,20
2005-13,m,7.5,180,51.1,17
2005-13,m,7.5,220,78.3,22
2005-13,m,7.5,210,75.7,20
2005-13,m,7.5,220,84.7,19
2005-13,m,7.5,220,58.9,15
2005-13,m,9,220,99,30
2005-13,m,9,230,105.4,23
2005-13,m,9,210,79.6,17
2005-13,m,17.5,280,130,28
2005-13,m,17.5,280,108,28
2005-13,m,22.5,270,136.5,30
2005-13,m,27.5,270,104.1,26
2005-13,m,27.5,260,88.6,27
2005-13,m,27.5,300,124.8,35
2005-13,m,32.5,300,131.3,34
2005-13,m,32.5,290,162.3,40
2005-13,m,37.5,270,113.2,40
2005-13,m,37.5,310,175.3,38
2005-13,m,37.5,300,188.2,40
2005-13,m,37.5,330,127.4,38
2005-13,m,37.5,290,207.6,40
2005-13,m,42.5,320,214.1,46
2005-13,m,42.5,310,162.3,42
2005-13,m,52.5,330,219.3,42
